,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
214,USA,Swimming,13,N,Teenager,tiger shark,10.0,0.0,0.0,100.0,110.0
215,USA,Surfing,20,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
216,AUSTRALIA,Body boarding,18,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
217,BRAZIL,Surfing,29,N,Adult,hammerhead shark,0.0,20.0,0.0,0.0,20.0
218,SOUTH AFRICA,Standing,37,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
219,AUSTRALIA,Spearfishing,18,N,Adult,bull shark,10.0,0.0,0.0,100.0,110.0
220,NEW ZEALAND,Swimming to shore from capsized kayak,24,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
221,USA,Diving,58,N,Adult,tiger shark,0.0,20.0,50.0,0.0,70.0
222,AUSTRALIA,Kayaking,27,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
223,AUSTRALIA,Diving,23,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
224,SOUTH AFRICA,Surfing,25,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
225,USA,Swimming,22,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
226,USA,Wade Fishing,56,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
227,BAHAMAS,Spearfishing,14,N,Teenager,bull shark,0.0,0.0,0.0,0.0,0.0
228,USA,Swimming,43,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
229,AUSTRALIA,Surfing,33,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
230,AUSTRALIA,"Diving, but on the surface when bitten by the shark",31,N,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
231,AUSTRALIA,Surfing,41,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
232,CUBA,Spearfishing,15,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
233,SOUTH AFRICA,Swimming,25,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
234,AUSTRALIA,Surfing,13,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
235,AUSTRALIA,Surfing,31,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
236,AUSTRALIA,Kayaking,29,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
237,AUSTRALIA,Snorkeling,51,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
238,AUSTRALIA,Scuba diving,34,N,Adult,nurse shark,0.0,0.0,0.0,100.0,100.0
239,CROATIA,Spearfishing,43,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
240,USA,Surfing,40,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
241,USA,Treading water,38,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
242,AUSTRALIA,Surfing,31,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
243,BAHAMAS,Spearfishing,42,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
244,SOUTH AFRICA,Surf skiing ,46,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
245,USA,Kayaking,40,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
246,BRAZIL,Swimming,14,N,Teenager,bull shark,10.0,20.0,0.0,0.0,30.0
247,AUSTRALIA,Swimming,37,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
248,NEW CALEDONIA,Fishing,40,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
249,MEXICO,Surfing,24,Y,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
250,NEW CALEDONIA,Swimming,32,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
251,USA,Swimming,66,Y,Senior,white shark,0.0,0.0,0.0,0.0,0.0
252,AUSTRALIA,Body boarding,16,Y,Teenager,bull shark,0.0,0.0,0.0,0.0,0.0
253,USA,Surfing,27,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
254,BAHAMAS,Diving,49,Y,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
255,MEXICO,Surfing,26,N,Adult,hammerhead shark,0.0,20.0,0.0,0.0,20.0
256,USA,Surfing,52,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
257,SOUTH AFRICA,Surfing,37,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
258,USA,Floating,32,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
259,AUSTRALIA,Surf-skiing,52,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
260,NEW CALEDONIA,Swimming,23,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
261,USA,Snorkeling,14,N,Teenager,nurse shark,0.0,0.0,50.0,0.0,50.0
262,USA,Body boarding,15,N,Teenager,tiger shark,0.0,0.0,0.0,0.0,0.0
263,USA,Surfing,24,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
264,USA,Floating near boat & observing bioluminesce,20,N,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
265,USA,Jumped into the water,19,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
266,BAHAMAS,Spearfishing,48,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
267,USA,Snorkeling,63,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
268,NEW CALEDONIA,Surfing,26,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
269,NEW ZEALAND,Spearfishing,16,N,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
270,NEW CALEDONIA,Spearfishing (free diving),30,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
271,AUSTRALIA,Diving,41,N,Adult,white shark,0.0,0.0,0.0,100.0,100.0
272,SOUTH AFRICA,Swimming / Body Surfing,24,Y,Adult,tiger shark,0.0,0.0,50.0,0.0,50.0
273,USA,Surfing,24,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
274,USA,Surfing,43,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
275,AUSTRALIA,Body boarding,15,N,Teenager,white shark,0.0,20.0,0.0,0.0,20.0
276,USA,Surfing,22,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
277,SOUTH AFRICA,Surfing,37,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
278,SOUTH AFRICA,Lifesaving drill,24,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
279,USA,Surfing,41,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
280,SOUTH AFRICA,Surf-skiing,19,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
281,USA,Body boarding,14,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
282,AUSTRALIA,Surfing,40,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
283,USA,Spearfishing,26,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
